country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Iceland,1,0.878,14,0.798,57,0.995,114,0.969,1,0.750
Norway,2,0.830,8,0.816,38,0.999,80,0.973,4,0.530
Finland,3,0.823,16,0.793,1,1.000,46,0.978,5,0.519
Rwanda,4,0.822,7,0.820,113,0.951,1,0.980,3,0.539
Sweden,5,0.816,12,0.809,37,0.999,112,0.969,8,0.486
Nicaragua,6,0.814,54,0.702,34,1.000,1,0.980,2,0.576
Slovenia,7,0.805,13,0.801,1,1.000,1,0.980,11,0.440
Ireland,8,0.794,50,0.710,1,1.000,96,0.971,6,0.493
New Zealand,9,0.791,23,0.768,43,0.998,115,0.969,12,0.430
Philippines,10,0.790,25,0.764,1,1.000,36,0.979,13,0.416
France,11,0.778,64,0.683,1,1.000,54,0.977,9,0.453
Germany,12,0.778,43,0.720,98,0.970,70,0.975,10,0.447
Namibia,13,0.777,9,0.813,41,0.999,1,0.980,26,0.318
Denmark,14,0.776,36,0.728,1,1.000,95,0.971,16,0.406
United Kingdom,15,0.770,53,0.705,36,0.999,100,0.971,17,0.404
Canada,16,0.769,29,0.744,1,1.000,105,0.970,20,0.361
Bolivia,17,0.758,60,0.692,108,0.956,69,0.976,14,0.408
Bulgaria,18,0.756,51,0.710,80,0.990,36,0.979,23,0.346
South Africa,19,0.756,89,0.652,64,0.993,1,0.980,18,0.399
Latvia,20,0.756,15,0.798,1,1.000,1,0.980,41,0.246
Switzerland,21,0.755,31,0.743,63,0.993,90,0.972,28,0.314
Burundi,22,0.755,1,0.911,128,0.876,1,0.980,40,0.255
Barbados,23,0.750,2,0.877,1,1.000,83,0.973,82,0.150
Spain,24,0.746,81,0.657,45,0.998,81,0.973,22,0.354
Cuba,25,0.745,99,0.629,1,1.000,103,0.970,19,0.382
Belarus,26,0.744,5,0.827,35,0.999,45,0.979,73,0.173
Bahamas,27,0.743,3,0.871,1,1.000,50,0.978,98,0.122
Lithuania,28,0.742,28,0.749,1,1.000,1,0.980,42,0.241
Mozambique,29,0.741,17,0.789,130,0.857,56,0.977,24,0.340
Moldova,30,0.740,11,0.811,66,0.992,1,0.980,72,0.176
Belgium,31,0.739,46,0.716,1,1.000,63,0.976,37,0.264
Netherlands,32,0.737,82,0.657,1,1.000,108,0.970,25,0.323
Portugal,33,0.734,35,0.730,70,0.992,55,0.977,43,0.240
Argentina,34,0.732,111,0.596,44,0.998,1,0.980,21,0.356
Australia,35,0.731,42,0.724,1,1.000,104,0.970,48,0.232
Colombia,36,0.731,32,0.740,30,1.000,1,0.980,59,0.206
Estonia,37,0.731,38,0.726,1,1.000,36,0.979,52,0.218
Albania,38,0.728,70,0.673,87,0.986,120,0.968,31,0.284
Poland,39,0.728,55,0.702,31,1.000,1,0.980,49,0.230
Serbia,40,0.727,72,0.670,47,0.997,1,0.980,38,0.262
Costa Rica,41,0.727,104,0.620,40,0.999,79,0.974,27,0.314
Ecuador,42,0.724,93,0.642,54,0.996,57,0.977,32,0.283
Panama,43,0.722,62,0.691,55,0.995,1,0.980,51,0.222
Israel,44,0.721,65,0.681,1,1.000,98,0.971,47,0.232
Uganda,45,0.721,59,0.693,124,0.913,88,0.973,30,0.305
Botswana,46,0.720,6,0.822,1,1.000,48,0.978,122,0.079
Bangladesh,47,0.719,129,0.465,111,0.954,125,0.966,7,0.493
Peru,48,0.719,98,0.632,82,0.988,49,0.978,33,0.277
United States,49,0.718,19,0.776,1,1.000,82,0.973,96,0.124
Zimbabwe,50,0.717,49,0.710,89,0.986,68,0.976,62,0.197
Jamaica,51,0.717,39,0.725,1,1.000,93,0.972,74,0.171
Kazakhstan,52,0.713,30,0.744,48,0.997,36,0.979,93,0.130
Mongolia,53,0.713,20,0.776,65,0.993,1,0.980,107,0.102
Croatia,54,0.711,63,0.689,58,0.995,1,0.980,68,0.180
Honduras,55,0.711,74,0.669,29,1.000,78,0.974,61,0.200
Uruguay,56,0.710,91,0.645,32,1.000,1,0.980,53,0.216
Austria,57,0.709,80,0.660,84,0.988,72,0.975,54,0.216
Romania,58,0.708,57,0.698,56,0.995,1,0.980,78,0.159
Luxembourg,59,0.706,76,0.667,1,1.000,86,0.973,66,0.184
Venezuela,60,0.706,67,0.678,49,0.997,1,0.980,75,0.167
Ukraine,61,0.705,34,0.736,28,1.000,51,0.978,103,0.107
El Salvador,62,0.705,97,0.634,67,0.992,1,0.980,56,0.214
Chile,63,0.704,117,0.573,39,0.999,47,0.978,36,0.266
Lao PDR,64,0.703,22,0.769,118,0.933,74,0.974,87,0.137
Singapore,65,0.702,27,0.752,94,0.977,101,0.971,101,0.110
Bosnia and Herzegovina,66,0.702,116,0.575,92,0.981,42,0.979,35,0.275
"Macedonia, FYR",67,0.702,96,0.636,90,0.985,65,0.976,58,0.209
Tanzania,68,0.700,69,0.674,125,0.910,62,0.976,44,0.239
Vietnam,69,0.698,33,0.738,97,0.972,138,0.957,97,0.124
Dominican Republic,70,0.697,95,0.638,72,0.991,1,0.980,69,0.179
Russian Federation,71,0.696,41,0.724,50,0.997,1,0.980,121,0.085
Ghana,72,0.695,18,0.784,119,0.931,118,0.968,112,0.097
