country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Iceland,1,0.874,9,0.806,1,1.000,104,0.970,1,0.719
Finland,2,0.845,16,0.794,1,1.000,1,0.980,2,0.607
Norway,3,0.842,7,0.818,28,1.000,68,0.974,3,0.576
Sweden,4,0.815,11,0.802,36,0.999,69,0.974,6,0.486
Rwanda,5,0.800,8,0.817,110,0.958,89,0.972,8,0.452
Ireland,6,0.797,49,0.709,1,1.000,54,0.979,5,0.502
Philippines,7,0.786,21,0.780,1,1.000,1,0.980,17,0.386
Slovenia,8,0.786,19,0.784,25,1.000,76,0.973,18,0.385
New Zealand,9,0.781,24,0.765,40,0.999,104,0.970,16,0.390
Nicaragua,10,0.780,92,0.632,1,1.000,1,0.980,4,0.506
Switzerland,11,0.776,30,0.745,61,0.993,72,0.974,15,0.391
Burundi,12,0.768,1,0.865,124,0.917,66,0.974,28,0.314
Germany,13,0.766,57,0.691,100,0.966,54,0.979,10,0.428
Namibia,14,0.765,20,0.781,35,0.999,1,0.980,31,0.299
South Africa,15,0.764,63,0.677,55,0.995,1,0.980,13,0.404
Netherlands,16,0.756,76,0.659,60,0.994,103,0.970,14,0.401
France,17,0.755,64,0.676,1,1.000,1,0.980,19,0.365
Latvia,18,0.755,18,0.785,1,1.000,1,0.980,38,0.255
Denmark,19,0.754,34,0.735,1,1.000,106,0.970,29,0.309
United Kingdom,20,0.752,53,0.700,34,0.999,64,0.974,24,0.335
Mozambique,21,0.750,13,0.798,129,0.871,113,0.968,21,0.361
Estonia,22,0.747,50,0.703,53,0.995,1,0.980,30,0.308
Bolivia,23,0.746,98,0.619,98,0.970,1,0.980,11,0.415
Belgium,24,0.745,37,0.731,1,1.000,64,0.974,35,0.275
Lithuania,25,0.744,25,0.757,1,1.000,40,0.979,43,0.239
Moldova,26,0.741,15,0.795,52,0.996,40,0.979,58,0.196
Cuba,27,0.740,114,0.578,1,1.000,61,0.975,12,0.407
Barbados,28,0.739,4,0.825,1,1.000,1,0.980,78,0.150
Spain,29,0.738,72,0.668,43,0.998,91,0.972,26,0.316
Belarus,30,0.737,5,0.823,29,1.000,40,0.979,80,0.146
Portugal,31,0.737,46,0.713,63,0.993,76,0.973,36,0.268
Costa Rica,32,0.736,105,0.606,30,1.000,62,0.975,20,0.365
Argentina,33,0.735,101,0.616,54,0.995,1,0.980,22,0.350
Luxembourg,34,0.734,27,0.750,1,1.000,69,0.974,55,0.212
Canada,35,0.731,36,0.732,1,1.000,108,0.969,49,0.222
Cape Verde,36,0.729,104,0.610,90,0.984,1,0.980,23,0.343
Bahamas,37,0.729,3,0.827,1,1.000,1,0.980,99,0.110
Poland,38,0.727,58,0.690,31,1.000,40,0.979,44,0.238
Colombia,39,0.727,28,0.749,37,0.999,40,0.979,66,0.180
Ecuador,40,0.726,93,0.631,48,0.996,1,0.980,32,0.297
Bulgaria,41,0.726,43,0.716,65,0.993,40,0.979,51,0.215
Jamaica,42,0.724,35,0.733,1,1.000,1,0.980,63,0.183
