Year,Stage,Home Team Name,Score,Away Team Name,Win conditions
1991,group-a,China PR,4–0,Norway,
1991,group-a,Denmark,3–0,New Zealand,
1991,group-a,Norway,4–0,New Zealand,
1991,group-a,China PR,2–2,Denmark,
1991,group-a,China PR,4–1,New Zealand,
1991,group-a,Norway,2–1,Denmark,
1991,group-b,Japan,0–1,Brazil,
1991,group-b,Sweden,2–3,United States,
1991,group-b,Japan,0–8,Sweden,
1991,group-b,Brazil,0–5,United States,
1991,group-b,Japan,0–3,United States,
1991,group-b,Brazil,0–2,Sweden,
1991,group-c,Germany,4–0,Nigeria,
1991,group-c,Chinese Taipei,0–5,Italy,
1991,group-c,Italy,1–0,Nigeria,
1991,group-c,Chinese Taipei,0–3,Germany,
1991,group-c,Chinese Taipei,2–0,Nigeria,
1991,group-c,Italy,0–2,Germany,
1991,quarter-finals,Denmark,1–2 ,Germany,
1991,quarter-finals,China PR,0–1,Sweden,
1991,quarter-finals,Norway,3–2 ,Italy,
1991,quarter-finals,United States,7–0,Chinese Taipei,
1991,semi-finals,Sweden,1–4,Norway,
1991,semi-finals,Germany,2–5,United States,
1991,third-place,Sweden,4–0,Germany,
1991,final,Norway,1–2,United States,
1995,group-a,Germany,1–0,Japan,
1995,group-a,Sweden,0–1,Brazil,
1995,group-a,Sweden,3–2,Germany,
1995,group-a,Brazil,1–2,Japan,
1995,group-a,Sweden,2–0,Japan,
1995,group-a,Brazil,1–6,Germany,
1995,group-b,Norway,8–0,Nigeria,
1995,group-b,England,3–2,Canada,
1995,group-b,Norway,2–0,England,
1995,group-b,Nigeria,3–3,Canada,
1995,group-b,Norway,7–0,Canada,
1995,group-b,Nigeria,2–3,England,
1995,group-c,United States,3–3,China PR,
1995,group-c,Denmark,5–0,Australia,
1995,group-c,United States,2–0,Denmark,
1995,group-c,China PR,4–2,Australia,
1995,group-c,United States,4–1,Australia,
1995,group-c,China PR,3–1,Denmark,
1995,quarter-finals,Japan,0–4,United States,
1995,quarter-finals,Norway,3–1,Denmark,
1995,quarter-finals,Germany,3–0,England,
1995,quarter-finals,Sweden,1–1,China PR,
1995,semi-finals,United States,0–1,Norway,
1995,semi-finals,Germany,1–0,China PR,
1995,third-place,China PR,0–2,United States,
1995,final,Germany,0–2,Norway,
1999,group-a,United States,3–0,Denmark,
1999,group-a,North Korea,1–2,Nigeria,
1999,group-a,United States,7–1,Nigeria,
